2127	-67	-40	-12	217	2096	-312	-270
2479	-101	-365	-159	-36	1234	-547	-301
1802	-168	-771	-320	-66	839	-845	-282
1162	-233	-1193	-576	-44	-134	-411	-270
452	-232	-1154	-979	-129	-1762	172	-240
322	-207	-1082	-874	-155	-3048	628	-214
1018	-249	-1071	-717	-213	-3396	1341	-206
1543	-169	-1158	-446	-267	-2670	1121	-184
1311	-36	-1150	-87	-313	-1945	645	-158
937	22	-1040	-24	-217	-1538	-1307	-168
896	20	-970	3	-156	-905	-2557	-146
700	54	-951	-32	-156	-457	-22	22
416	95	-951	50	-142	-283	248	320
250	85	-970	-35	-141	391	-550	434
-12	78	-1193	-100	-124	952	-298	369
-428	72	-1557	-180	-99	1364	-1118	304
-657	179	-1612	-298	-43	1799	-1971	304
-746	264	-1205	-302	-7	1977	-1313	438
-893	233	-882	-285	16	1624	1708	638
-893	74	18	-224	69	1429	4000	898
-840	-36	919	-194	68	1364	4000	1207
-769	-34	1249	-153	76	311	3417	1385
-618	-100	1298	-152	55	-702	1430	1163
-540	-226	987	-170	5	-1697	-1005	597
-518	-342	838	-169	-15	-2253	-2713	-557
-410	-257	237	-72	-62	-2075	-2271	-1681
-360	-135	-315	91	-34	-1866	-1814	-1742
-616	33	-438	207	-10	-1881	-471	-1583
-518	149	-75	195	-4	-1932	-660	-1392
-313	183	895	181	70	-940	-190	-761
-331	217	1334	141	155	97	-80	-170
-290	188	1379	118	232	888	-180	491
-372	198	1269	209	247	1559	25	982
-438	135	809	207	217	1535	-121	1403
-550	146	383	211	208	1299	150	1789
-475	240	253	276	191	1169	66	1989
-317	245	260	264	150	705	311	2139
-226	178	40	233	123	66	558	2156
-5	109	-148	203	69	-260	1271	2025
220	57	-213	183	14	-145	1214	1533
408	39	-104	116	53	506	816	717
333	-9	41	71	131	797	1235	-11
94	-187	-137	50	169	615	1586	-389
-21	-292	-641	4	163	367	1035	-561
-28	-247	-1242	-20	110	189	266	-739
-106	-118	-1466	10	119	457	-485	-947
-343	-75	-979	10	123	616	-285	-1149
-508	-49	-167	-120	169	644	-309	-1259
-311	90	425	-167	171	575	-2402	-1257
-221	225	980	-56	132	351	-3717	-1320
-79	346	1037	-30	113	219	-3897	-1656
208	313	744	46	113	8	-2295	-1797
232	93	549	106	122	-238	-1184	-1825
258	-111	-538	43	31	-440	-388	-1851
473	-88	-1621	59	-2	-550	1140	-1681
829	-14	-1597	9	-25	-779	604	-1540
892	-60	-832	-14	-70	-814	693	-1286
660	-221	446	22	-35	-476	595	-1245
583	-334	1362	-4	1	-254	414	-1453
530	-198	1765	-21	36	-45	693	-1430
144	-40	2130	-18	1	215	492	-1013
-135	-143	2156	1	-32	367	809	-394
-345	-304	2001	85	-63	411	681	265
-746	-314	1499	115	-128	401	702	760
-706	-179	1114	99	-90	362	550	882
-182	142	723	77	-56	282	384	852
172	322	205	33	-56	237	291	768
82	400	105	73	7	197	230	703
7	485	69	54	-41	172	326	751
-108	382	-13	18	-135	188	268	874
-69	188	-213	4	-60	172	330	1049
226	-9	-519	60	-32	188	272	1175
200	-210	-914	103	-40	170	319	1240
25	-167	-1353	34	-90	138	267	1334
21	144	-1764	8	-111	133	225	1240
68	191	-2512	-63	-98	118	218	963
-72	252	-2987	-93	-70	148	211	861
-27	359	-2403	-131	-84	160	238	768
82	227	-1142	-140	-130	185	297	659
-116	197	-146	-94	-111	131	357	597
4	106	728	-93	-83	54	319	570
109	-28	1609	-62	-62	58	315	569
109	-93	1741	-20	-134	107	356	497
243	-97	1444	38	-141	170	407	527
188	-122	790	44	-88	138	343	359
64	-226	585	-9	-95	153	292	93
-113	-208	740	-61	-79	178	218	-67
-191	-56	474	-75	-64	119	86	-476
10	198	303	-72	-77	7	-101	-1001
62	212	36	-55	-87	-8	-251	-1522
-147	21	-393	-22	-45	24	-377	-1832
-223	-75	-613	13	3	34	-554	-1826
-51	-96	-743	87	4	138	-660	-1366
16	-99	-577	150	58	272	-684	-109
-272	-46	-28	158	111	330	-666	1049
-411	22	532	99	154	284	-640	1162
-331	-6	476	47	110	315	-554	833
-274	-69	-450	0	14	394	-363	-101
-121	-233	-820	-97	37	498	-161	-1237
304	-279	-285	-150	41	625	9	-1807
595	-340	-422	-206	56	685	124	-2278
572	-405	-210	-200	55	733	-75	-2946
387	-192	377	-116	66	795	-338	-3670
346	-43	225	-11	151	839	-282	-4000
530	-10	248	30	290	723	-132	-4000
410	-41	382	-1	375	563	-94	-4000
120	-74	595	-37	416	528	-25	-4000
-339	1	595	-75	479	492	80	-4000
-506	56	432	-60	455	413	120	-3300
-368	40	349	-76	408	353	101	-2035
-306	-36	242	-74	355	289	38	-366
-154	-118	231	-71	356	179	23	717
-185	-228	38	-101	326	78	17	549
-150	-151	-177	-72	218	-70	26	786
116	152	-317	-78	153	-272	124	1598
329	537	-372	-46	110	-456	208	2091
312	997	-470	2	41	-623	244	2445
228	985	-442	0	-64	-790	303	2835
2	489	-359	10	-168	-883	310	2935
-185	7	-407	39	-143	-839	311	2876
-204	-700	-402	28	-102	-876	333	2575
-502	-1574	-406	10	-107	-1147	303	2445
-850	-2078	-306	35	-56	-1277	271	2766
-769	-1885	-220	-1	-58	-1383	267	2835
-443	-1078	-197	2	-39	-1294	248	2156
-342	321	-239	-7	39	-1147	248	312
-201	1406	-584	-35	56	-1229	271	-819
-55	1538	-678	-14	212	-1213	303	-284
54	1538	-61	-27	540	-1164	303	880
281	839	191	-18	413	-1075	200	2054
408	189	241	-32	188	-944	56	2091
375	794	337	-57	212	-790	56	2042
310	1865	172	-50	32	-688	143	2035
208	1944	202	-86	-130	-611	181	1374
82	1120	199	-65	-264	-472	237	946
-136	803	217	-45	-291	-316	162	544
-258	933	236	-55	-273	-131	-30	322
-195	607	240	-9	-291	15	-237	699
-318	-440	236	23	-227	88	-617	1598
-295	347	158	4	-172	178	-883	2249
-193	1799	107	13	-159	309	-817	2433
-211	3673	65	16	-188	408	-737	2249
-123	4000	39	16	-228	498	-436	1700
74	4000	-36	28	-248	562	-275	1293
215	1193	-37	-17	-299	579	-277	880
304	-3477	-30	-2	-345	589	-64	479
269	-4000	-38	-25	-323	603	-10	26
-117	-4000	-17	-44	-333	579	177	-742
-354	-4000	-30	8	-252	522	333	-1430
-127	-4000	-78	-47	-15	486	380	-1066
139	-3041	-95	-29	102	444	420	-414
85	-1005	-98	-14	131	405	399	1049
-102	1278	-54	-24	562	394	337	2575
-13	4000	-11	-4	1055	354	249	2119
204	4000	-17	-18	733	311	262	2167
408	4000	-20	-15	432	315	183	2621
495	2600	-31	-28	692	315	99	2876
269	461	6	-12	549	262	-11	2742
3	-1533	24	8	426	209	-98	2184
-116	-1989	32	-4	283	170	-114	1767
-188	-4000	30	-13	245	143	-102	921
-411	-4000	40	-8	624	146	-38	17
-476	-4000	59	13	839	119	0	-891
-209	-4000	54	-4	505	103	36	-2030
100	-1794	48	-11	-91	74	44	-3210
239	929	-6	1	-457	42	-30	-4000
238	476	-22	-9	-885	92	-321	-4000
147	-1266	-161	10	-941	152	-532	-4000
90	-2041	-374	63	-909	170	-450	-4000
110	-3119	-303	56	-878	262	-554	-4000
38	-4000	-108	13	-903	355	-680	-4000
25	-4000	0	7	-1135	492	-611	-4000
55	-4000	101	11	-1011	510	-609	-4000
159	-1999	142	-7	-942	408	-618	-3796
374	-1363	179	-11	-846	669	-334	-3060
423	-708	237	-41	-738	1167	-151	-3158
269	585	307	-50	-607	1771	-180	-3287
26	1648	349	-17	-446	2470	148	-2299
-223	2949	298	-16	-429	3076	262	-878
